id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
5708593,4.31748811353631,House,Private room,"{TV,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",3,1.0,Real Bed,flexible,False,LA,"Large bright airy room with 2 balconies and Jacuzzi tub converted to a soaking tub. Laundry, new mini frig and microwave. All new linens. Awesome Mexican food and Sushi walking distance across street. Free bikes. Golf course across street. Driveway parking for up to 3 cars. We are working on a new deck in back and extra bathroom downstairs. There is also a full kitchen and shower downstairs.  Extra bedroom with Queen may be available too if you have extra friends. I am available by text or phone. I may stay there or in Laguna. Driveway parking, close to buses, Uber. Walking distance to restaurants. I'm putting in a new deck in back and an extra bath downstairs.",,t,f,,2015-12-12,t,,33.78271154765596,-118.13441022492472,Island style Spa Studio,Long Beach,0,,90804,0.0,2.0
14483613,4.007333185232471,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""24-hour check-in"",""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad,""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",4,2.0,Real Bed,strict,False,NYC,"Private room for rent in a six bedroom apt with two bathrooms in the heart of Ridgewood. The room features a full size bed, a queen size bed, a mirror and a night stand. Ideal for one to four guests. Located in very cool, hip and safe Ridgewood neighborhood of Queens. Close to bars, cafes and 24 hour supermarkets. Located only 25 mins from Downtown NYC . My place is good for couples, solo adventurers, business travelers, and families (with kids). Guests have access to their room which features a full size bed, a queen size bed, a mirror and a night stand. In the summer months there is also an air conditioner. Guests have access to their room which has a lock on it for secure privacy. As well as a fully equipped kitchen and two bathrooms are shared with other airbnb quests. The rooms are filled with other Airbnb guests and everyone seems to mingle and meet in the  kitchen area. It really is a cool place to hang out. The kitchen is fully equipped with everything needed for cooking and pr",2017-05-07,t,t,100%,2016-11-04,t,2017-09-17,40.70546838788719,-73.90943907113144,"Beautiful and Simple Room W/2 Beds, 25 Mins to NYC",Ridgewood,38,86.0,11385,1.0,2.0
10412649,7.090076835776093,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Laptop friendly workspace""}",6,2.0,Real Bed,flexible,False,DC,"14th st corridor 2br/2ba condo, secure boutique building less than 4 years old and like-new condition.  Perfectly equipped for a family with an infant or toddler, if no kids then we will store the baby stuff and couch in the 2nd br pulls out as a fully equipped queen bed slept on less than 5 times ever.  Open layout, gourmet kitchen, marble dining table that seats 6, L shaped sofa with 50in TV on wall.  800 sq foot attached private terrace: fire pit, table for 6, outdoor couch.  Pics soon,",,t,f,,2016-12-11,t,,38.91753650840245,-77.03165110492635,2br/2ba luxury condo perfect for infant / toddler,U Street Corridor,0,,20009,2.0,2.0
17954362,3.555348061489413,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad,Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",Waterfront,Beachfront}",1,1.0,Real Bed,flexible,True,NYC,"My place is close to Manhattan. You can see the top of the world trade center from my front door. Two blocks up you can see the empire state building. Very safe and quite area. Very diversified. Quiet, residential area in the heart of Sunnyside. Cafes, restaurants from the around the world, and parks just minutes away. Quick walk to the 7 train which will take you into Manhattan in 15 minutes. 15-20 minutes car ride from LaGuardia. Convenient in every way. You will love living here. We have a separate, private entrance for you to use. Private room in a large apartment. You will be sharing a bathroom with other guests. Shared kitchen also available for your convenience. 3 floor home. My mother, my children and I welcome you to our home in ""The World's Borough"" year round. You will have access to the kitchen, living room and a shared bathroom. Private entrance available. I am usually available to meet you and show you around. It is a great neighborhood, I've lived here for 30years and I ",2016-10-07,t,t,100%,2012-08-04,f,2017-09-29,40.736001493665405,-73.92424760162338,Manhattan view from Queens. Lovely single room .,Sunnyside,19,96.0,11104,1.0,1.0
9969781,5.48063892334199,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",4,1.0,Real Bed,moderate,True,SF,"This beautiful home can be your dream destination whether you plan a city vacation or a working holiday with a private deck and views. Easy shopping and great international cuisines are within blocks. It's a special find with transportation and parking so close. But walking gives you the city experience. Attractive zen like decor. Sunny back deck with lounge chairs, gourmet kitchen, sunlight filled bathroom. As needed. Transportation, restaurants, coffee and parks all within walking distance. Park your car or take a bus. Both are very easy so you have choices! STR-(PHONE NUMBER HIDDEN) Francisco Registration with Office of Short Term Rentals  Book with confidence! You can book my space with confidence as I am registered with the city and so you can know that my listing will still be active when your trip happens. There is free parking on the street, and we can almost always find a spot within a block or two. It's really easy to go downtown whether you have a car or you want to use publ",2016-09-25,t,t,100%,2013-07-25,f,2017-08-28,37.74489588289044,-122.4306650075254,Zen Captured Noe Valley House,Noe Valley,15,96.0,94131,2.0,2.0
13113872,6.214608098422191,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly""}",2,1.0,Real Bed,moderate,True,NYC,"10th floor, modern, door man, elevator building smack between the West Village and the Meatpacking District. Great view of the Freedom Tower. King bed. Easy walk to amazing restaurants, boutique shopping, galleries, west side highway and the High Line. Steps away from subway lines A,C,E,1,2,3 The west village is the best neighborhood in New York City. Quiet street surrounded by cobblestone and tree lined streets.  Plenty of great restaurants and wine/beer bars in walking distance.  Plenty of night life a couple of blocks north in the meat packing district. Steps away from subway lines A,C,E,1,2,3",,t,t,,2012-11-19,f,,40.738579574265046,-74.0087517498732,Modern West Village Apartment,West Village,0,,10014,1.0,1.0
12032987,4.4998096703302615,Townhouse,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Private entrance"",""Hot water"",""Private bathroom"",""Bed linens"",""Extra pillows and blankets""}",2,1.0,Real Bed,strict,True,NYC,"""A stylish stay in the heart of Harlem” Elegant studio outfitted with the conscious traveler in mind. If you are looking for a stylish location in Harlem, near all the major attractions, this stunning private studio would be a great choice!... This stylish cozy studio is furnished with a queen size bed, a kitchenette and a sitting area where you can lounge and relax! You will have the second floor to yourself with your own entrance and your own bathroom. Ill be able to offer help with whatever you need throughout your stay! Celebrate your style at Harlem, in the center of New York City's most happening and vibrant neighborhood! We are steps from the Apollo Theater, Central Park, a great shopping area, a variety of restaurants, plenty of bars and lounges for a great night out. Several food markets are within a 2 block radius if you feel like staying in and cooking a delicious meal. This space is also conveniently located near Morningside Park, Columbia University, 10 blocks from Central",2017-06-08,,,,,t,2017-09-22,40.80662937264047,-73.94991086679423,Elegant Private Studio - Town House,Harlem,63,98.0,10027,1.0,1.0
12112830,4.394449154672439,Guest suite,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Outlet covers"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware""}",3,1.0,Pull-out Sofa,moderate,False,NYC,"Looking for an affordable place to stay in NYC? I have the perfect room in the lower level of my house in Flushing, Queens, NYC. We are in a quiet residential NYC neighborhood. The space has its own entrance and very small bathroom so you have privacy but we are upstairs if you need anything. This is a private part of my primary residence. We use the room for relaxing when we don't have guests. The room is located in the basement and you must be able to walk down 5 steps to enter. THERE ARE THREE SLEEPING OPTIONS BUT NO ""REAL"" BEDS. The full-size sofa bed (450 lb limit) and twin-size chaise (250 lb limit) fold down to accommodate three guests. There is also a footstool that folds out to a bed for one (300 lb limit). The room size is ideal for 1-2 persons, but a 3rd can be accommodated. 1 closet, refrigerator, kitchen sink, hot pot, microwave, and toaster (For safety reasons, there is no stove/oven).  The small private bathroom has a toilet, sink, and shower. Towels and toiletries are i",2013-03-25,t,t,100%,2013-01-14,f,2017-09-25,40.75249503889759,-73.81125637682926,"Private Suite, Free Metrocard*",Flushing,213,93.0,11355,0.0,2.0
16738953,4.02535169073515,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo}",3,1.0,Real Bed,moderate,True,LA,"Very Spacious Living room that has a divider for privacy.  My apartment is located in the heart of Century City surrounded by two West Pavillion malls, a train ride away from the beach, and 10 minutes from famous sunset strip. Plus puppy friendy.  Also I am a Chef I cook a lot and you are invited to any meal I make in the house come enjoy your summer vacation with me and my amazing pup Bentley. My apartment is right in between two malls, bus stop right in front, train station 6 minutes away for easy access to the beach.  My apartment is also nestled in between West Hollywood and Santa Monica Beach. And there is Ralphs grocery store  a 5 minute walk from your front door. Beautiful view and safe location There is washer and dryer available on site that you share with 3 other apartments, open 24/7 Just come on and knock on my door or send me a text message Very safe, everyone is friendly and the weather is great. Plenty of street parking for a car but close enough to bike wherever your he",,t,t,100%,2015-08-31,t,,34.05000071742908,-118.42146903533956,Spacious beautifully lit livingroom,Westside,0,,90064,1.0,1.0
94477,5.521460917862246,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",4,1.0,Real Bed,moderate,True,NYC,"Lower 80's near Central Park and the Museum of Natural History!  The best of the Upper West Side!  It is all at your fingertips at an affordable price!  Come play and relax in this beautiful, spacious & peaceful oasis.   Beautiful brownstone walk-up! Quiet, clean, roomy, chic and comfortable with high ceilings.  In the heart of the UWS.   The apartment is in a walk-up (no elevator) brownstone - 3 flights up.  A king bed in the master and twin bunk beds in the second bedroom. As much is guests require.   Everything is there!  Central Park, restaurants, theaters, Museum of Natural History, shopping! Two blocks from the 1/9 and the B/C Subway. The apartment is in a walk-up brownstone - 3 flights up.  ",2015-03-10,t,t,80%,2014-12-15,f,2017-09-16,40.783344481996096,-73.97577539157197,Fabulous UWS 2 Bedroom Apartment!!,Upper West Side,77,96.0,10024,2.0,3.0
13642074,6.324358962381313,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""High chair"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",10,3.5,Real Bed,strict,True,DC,"Sligo Creek Manor is the most luxuriously appointed home in the DC region offering unique amenities including a hot tub, tempurpedic mattresses, soft organic bedding and an open area to entertain. You are ideally located 15 min from The Smithsonian museums and The White House by metro. We are 1 mile from the Takoma metro where you can park to ride into DC. Many of my guests prefer to drive to Union Station to park due to most tours leaving from there.  You can pay to park there for the day. Just outside of the hustle and bustle and noise of the city is Sligo Creek. A lovely area abundant with tall trees, creeks and flowering bushes. You are a mile from 2 metro stations that will take you to the sites of DC in 15 minutes. You will be 7 miles from The White House in a quiet neighborhood in a well cared for 5 bedroom home to relax in at the end of the day. The entire home is yours to enjoy I am available by phone 24/7 to assist in whatever I can do to help make your stay enjoyable. The ne",2017-01-02,t,f,100%,2014-10-17,f,2017-01-02,38.985535414656326,-77.02977426794116,Luxury 5 bdrm 4 bath 1 mile to metro 15 min to DC,Shepherd Park,1,100.0,20002,5.0,8.0
587205,4.3694478524670215,Apartment,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,strict,True,LA,"Welcome to your home away from home! Charming 1-bedroom apartment located in a peaceful courtyard setting on a quiet street in the beachside city of Santa Monica. It features plenty of natural light and is clean, safe and secure in a gated community. Nestled between Wilshire Blvd and Santa Monica Bvld (Route 66), many restaurants, bars, shops and supermarkets are only a short walk away. This top floor unit overlooks a lovely courtyard and comes fully furnished with everything you might need. This clean and charming apartment is located in a quiet and safe area of Santa Monica within a gated community. It's situated on the top floor and has views of the charming communal courtyard. With windows front and back, all rooms are bright and airy, with shiny wooden floors, freshly painted walls and functional wooden blinds on all windows. It features a full-sized and fully equipped kitchen with a large fridge, dishwasher, microwave and gas stove in addition to a bar, dining table, desk, L-shap",,t,f,100%,2012-08-01,f,,34.03838757738468,-118.4706881980882,Charming and Tranquil Santa Monica Apartment,Santa Monica,0,,90404,1.0,1.0
16333868,4.867534450455582,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",2,1.0,Real Bed,strict,True,SF,"Live/work in your private two-room suite (bedroom and living room, does not have private bathroom) in our spacious, sunny, flat in the heart of San Francisco's fabulous, walkable, culinary headquarters - the Mission District. 99 Walk Score! A peaceful, clean oasis surrounded by it all. You will enjoy a private bedroom with a big bay windows with views of Valencia Street, Sutro Tower, and the Women's Building murals. One full size bed, desk, lounging chair, closet with shelves and space to unpack. And you will have exclusive access to one of the two separate living rooms of our house, which is directly next to your bedroom. Use this large, sunny room with equally amazing views to spread out, work at the large desk, or just relax and watch the Mission come to life (or Netflix on your laptop). FYI, there is not a couch or other furniture for sleeping in your living room; only the full size bed in the bedroom. So, the rental is good for couples/people who wish to sleep in same bed only. Th",2016-02-29,t,t,100%,2012-05-08,f,2017-09-19,37.76094673871102,-122.42098332489212,Sunny 2Rm Suite Unbeatable Location,Mission District,52,99.0,94110,1.0,1.0
4717034,5.298317366548036,Condominium,Private room,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Doorman,Gym,Elevator,""Hot tub"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Shampoo}",1,1.0,Real Bed,flexible,False,NYC,"modern new bed, with a beautiful view of the city in luxurious building in the highest floor. has a guest bathroom.",,t,t,,2015-08-25,f,,40.748398289016855,-73.97298376745081,Renting very clean bedroom,Murray Hill,0,,10016,1.0,1.0
